Date,New Cases,Active Cases,Total Cases,New Recoveries,Total Recovered,New Deaths,Total Deaths,Daily Recovery Rate (%),Daily Death Rate (%),Weekly Average Daily Recovery Rate (%),Weekly Average Daily Death Rate(%),Recovery Rate so Far(%),Death Rate so Far (%),No Outcome (%),Daily Infection Rate
2020-07-03,1134,289724,420948,4277,99033,25,32191,1.4602652172131707,0.008535569424907474,0.5399245165752627,0.008414153726076914,23.52618375666353,7.647262844816937,68.82655339851954,0.38717342911380304
2020-07-04,863,284193,421811,6370,105403,24,32215,2.198644226919413,0.008283745909900457,0.8168367053990758,0.00809874866291123,24.988205618155998,7.637306755869335,67.37448762597467,0.29786969667683727
2020-07-05,631,275026,422442,9765,115168,33,32248,3.4360452227887386,0.011611827173786829,1.2893769846585976,0.008210493074429677,27.262440761098564,7.633710663238977,65.10384857566245,0.222032210504833
2020-07-06,583,268272,423025,7318,122486,19,32267,2.6608393388261473,0.006908437747703854,1.6694486022078476,0.007652196837721769,28.954789906033923,7.62768157910289,63.417528514863186,0.21197995825849192
2020-07-07,642,261993,423667,6896,129382,25,32292,2.5705254368700423,0.009318900220671557,2.01560083925188,0.00816397950456798,30.53860697198507,7.6220239008466555,61.83936912716827,0.23930935766684558
2020-07-08,770,252919,424437,9825,139207,19,32311,3.7501001935166207,0.007252102155401098,2.5029884080207245,0.008525243924448537,32.79803598649505,7.612672787716434,59.589291225788514,0.2939009820873077
2020-07-09,809,244333,425246,9363,148570,32,32343,3.7019757313606334,0.012652272071295554,2.8254850524992525,0.009223264957666689,34.937424455491644,7.605715280096697,57.45686026441166,0.3198652533024407
2020-07-10,944,236291,426190,8954,157524,32,32375,3.6646707567131744,0.013096880077599014,3.140400129570682,0.009874880765194051,36.96097984467022,7.596377202656092,55.44264295267369,0.3863579622891709
2020-07-11,791,227566,426981,9499,167023,17,32392,4.020043082470344,0.0071945186232230595,3.400599966077958,0.00971927686709728,39.11719725233675,7.586286040830856,53.296516706832385,0.3347567194687906
2020-07-12,831,217901,427812,10485,177508,11,32403,4.607454540660731,0.004833762512853414,3.5679441543453843,0.008750981915535364,41.49205725879592,7.574121343019831,50.93382139818425,0.36516878619828974
2020-07-13,665,209208,428477,9316,186824,42,32445,4.27533604710396,0.01927480828449617,3.7985865412422153,0.010517606277934266,43.60187361281936,7.572168401104377,48.82595798607627,0.3051844645045227
2020-07-14,975,200810,429452,9356,196180,17,32462,4.472104317234523,0.008125884287407747,4.070240667008569,0.01034717543032515,45.68147313320232,7.558935573707888,46.7595912930898,0.46604336354250314
2020-07-15,999,192826,430451,8950,205130,33,32495,4.456949355111798,0.016433444549574225,4.171219118665023,0.011658795772349883,47.65466917256552,7.549059010200929,44.79627181723355,0.49748518500074695
2020-07-16,1103,185496,431554,8410,213540,23,32518,4.361445033346126,0.01192785205314636,4.265429018948664,0.011555307198328571,49.481640768015126,7.535094101781006,42.98326513020387,0.572018296287845
2020-07-17,1032,177591,432586,8920,222460,17,32535,4.808729029197395,0.009164618104972613,4.428865915017839,0.01099355548795337,51.42561247936826,7.52104783788657,41.05333968274517,0.5563462284901022
2020-07-18,902,170561,433488,7915,230375,17,32552,4.456869999042745,0.009572557167874498,4.491269760242468,0.011333275280046434,53.1444930424833,7.509319750489056,39.34618720702765,0.5079086214954587
2020-07-19,850,163303,434338,8090,238465,18,32570,4.743171064897602,0.010553409044271551,4.51065783513345,0.012150367641677595,54.903093903826054,7.498768240402636,37.59813785577131,0.49835542709060104
2020-07-20,707,157206,435045,6790,245255,14,32584,4.1579150413648245,0.008573020703845,4.493883405742144,0.010621540844441711,56.374627912055075,7.489799905756875,36.13557218218805,0.43293754554417246
2020-07-21,882,152150,435927,5920,251175,18,32602,3.7657595766064906,0.011449944658600816,4.392977014223854,0.011096406611755009,57.61859210372379,7.478775116017132,34.90263278025908,0.56104728827144
2020-07-22,823,146693,436750,6265,257440,15,32617,4.117647058823529,0.009858692080184028,4.344505257611244,0.010157156258984982,58.944476244991414,7.4681167716084715,33.587406983400115,0.5409135721327637
2020-07-23,953,140882,437703,6725,264165,39,32656,4.584404163797863,0.026586135671095416,4.376356561961493,0.012251196775834847,60.352567837095016,7.4607667756446725,32.18666538726031,0.6496560844757419
2020-07-24,906,135888,438609,5891,270056,9,32665,4.18151360713221,0.006388324981189932,4.286754358809324,0.011854583472437322,61.57101199473791,7.44740759993525,30.98158040532684,0.6430913814397865
2020-07-25,845,130995,439454,5724,275780,14,32679,4.212292476156835,0.010302602142941245,4.251814712682765,0.011958875611732572,62.75514615864232,7.436273193553819,29.808580647803865,0.6218356293418109
2020-07-26,605,125745,440059,5845,281625,10,32689,4.462002366502539,0.007633879155692965,4.211647755769184,0.0115417999133642,63.9971003888115,7.428322111353251,28.57457749983525,0.4618496889194244
2020-07-27,781,120066,440840,6441,288066,19,32708,5.122271263270905,0.0151099447294127,4.349412930327197,0.012475646202731016,65.34479629797659,7.419471917248888,27.235731784774522,0.6210982544037537
2020-07-28,596,112196,441436,8455,296521,11,32719,7.041960255192977,0.009161627771392402,4.8174415986966945,0.012148743790272669,67.17191167009487,7.411946465625821,25.416141864279307,0.49639365015907916
2020-07-29,798,109445,442234,3534,300055,15,32734,3.149844914257193,0.01336946058683019,4.679184149472932,0.012650282148364977,67.84982611015887,7.401963666294315,24.74821022354681,0.7112553032193661
2020-07-30,940,107163,443174,3202,303257,20,32754,2.925670428068893,0.018274018913609576,4.442222187225936,0.011462836897295573,68.42842766046745,7.39077653472451,24.180795804808042,0.85887888893965
2020-07-31,924,103534,444098,4542,307799,11,32765,4.238403180202122,0.010264736896130194,4.450349269093067,0.012016610028001324,69.30880121054362,7.377876054384393,23.31332273507199,0.8622378992749363
2020-08-01,755,99756,444853,4525,312324,8,32773,4.370544941758263,0.007726930283771515,4.472956764178984,0.01164865690526279,70.20836096418367,7.367152744839307,22.42448629097702,0.7292290455309367
2020-08-02,467,95710,445320,4506,316830,7,32780,4.517021532539396,0.0070171217771362124,4.480816645041393,0.011560548708326113,71.14659121530585,7.3609988323003686,21.492409952393785,0.46814226713180157
2020-08-03,695,92572,446015,3822,320652,11,32791,3.9933131334238845,0.011493051927698256,4.319536912206105,0.01104384973665262,71.89264935035817,7.3519948880643025,20.755355761577526,0.7261519172500261
2020-08-04,850,89593,446865,3819,324471,10,32801,4.1254374972994,0.010802402454305837,3.9028908039355934,0.011278246119925967,72.61051995569132,7.340248173385699,20.049231870922984,0.9182042086159962
2020-08-05,688,87218,447553,3053,327524,10,32811,3.4076322927014386,0.011161586284642774,3.939717572284771,0.010962835505327766,73.18105341713719,7.3311987630515265,19.487747819811286,0.7679171363834228
2020-08-06,789,84666,448342,3335,330859,6,32817,3.8237519778027473,0.006879313903093398,4.068014936532465,0.009335020503825455,73.79611992630626,7.319635456861057,18.884244616832685,0.9046297782567818
2020-08-07,823,82888,449165,2596,333455,5,32822,3.066165875321853,0.0059055583114827675,3.900552464406712,0.00871228070601868,74.23886545033562,7.307336947446929,18.45379760221745,0.9720548980700635
2020-08-08,837,83716,450002,0,333455,9,32831,0.0,0.010858025287134447,3.2761889012983887,0.009159579992213384,74.10078177430323,7.295745352242879,18.603472873453896,1.0097963517035036
2020-08-09,604,81071,450606,3240,336695,9,32840,3.870227913421568,0.01075063309283769,3.183789812852985,0.00969293875159931,74.72048752124917,7.2879633205061625,17.991549158244673,0.7214869320082182
2020-08-10,593,77877,451199,3780,340475,7,32847,4.662579714077784,0.008634406877921821,3.27939932437497,0.009284560887345533,75.46005199479609,7.2799363473766565,17.260011657827256,0.7314576112296629
2020-08-11,711,75374,451910,3204,343679,10,32857,4.114180053160753,0.012840761713984874,3.2777911180694494,0.009575755067299683,76.05031975393331,7.270695492465314,16.67898475360138,0.9129781578643245
2020-08-12,773,72900,452683,3230,346909,17,32874,4.285297317377345,0.022554196407249184,3.403171835880293,0.011203270799100598,76.63398006993857,7.262035464110647,16.103984465950788,1.0255525778119776
2020-08-13,823,71615,453506,2095,349004,13,32887,2.8737997256515775,0.01783264746227709,3.2674643712872684,0.012768032736126839,76.95686495878776,7.251723240706848,15.791411800505395,1.1289437585733881
2020-08-14,816,70900,454322,1523,350527,8,32895,2.126649444948684,0.011170844096907072,3.1332477383768156,0.013520216419758884,77.15386884192269,7.24045940984588,15.60567174823143,1.1394260978845214
2020-08-15,791,70507,455113,1178,351705,6,32901,1.6614950634696757,0.00846262341325811,3.3706041760153407,0.013178016152062265,77.27860992764434,7.229193628835037,15.492196443520621,1.1156558533145275
2020-08-16,659,69253,455772,1904,353609,9,32910,2.700441090955508,0.012764690030777086,3.2034917728059042,0.013465738571767891,77.58462564615641,7.220715620968379,15.19465873287521,0.9346589700313445
2020-08-17,520,67872,456292,1891,355500,10,32920,2.730567628839184,0.014439807661761945,2.9274900463432467,0.014295081540887909,77.91063617157434,7.214678320023143,14.874685508402514,0.7508699984116212
2020-08-18,718,66964,457010,1614,357114,12,32932,2.378005657708628,0.01768033946251768,2.6794651327072287,0.014986449790678312,78.14139734360299,7.205969234808866,14.652633421588149,1.0578736445073078
2020-08-19,764,66485,457774,1241,358355,2,32934,1.8532345738008482,0.0029866794098321486,2.332027597910586,0.012191090219618733,78.28207805598396,7.194379759444617,14.523542184571426,1.1409115345558807
